transaction_id,portfolio_id,security_id,transaction_type,quantity,price,transaction_date,fees,settlement_date,notes
1,1,1,BUY,1000,184.50,2023-09-25,15.00,2023-09-27,Initial purchase
2,1,2,BUY,500,412.30,2023-09-25,20.00,2023-09-27,Initial purchase
3,2,26,BUY,300,102.10,2023-09-25,5.00,2023-09-27,Bond purchase
4,3,7,BUY,200,875.20,2023-09-26,25.00,2023-09-28,Tech stock
5,4,28,BUY,800,99.80,2023-09-26,10.00,2023-09-28,Treasury bond
6,1,1,BUY,500,186.20,2023-09-27,12.00,2023-09-29,Additional shares
7,2,27,BUY,400,100.50,2023-09-27,8.00,2023-09-29,5-year bond
8,5,9,BUY,600,161.40,2023-09-28,18.00,2023-09-30,Healthcare stock
9,6,15,SELL,200,37.80,2023-09-28,10.00,2023-09-30,Profit taking
10,3,2,BUY,300,418.60,2023-09-29,15.00,2023-10-01,Microsoft
11,4,1,BUY,800,187.40,2023-09-29,20.00,2023-10-01,Apple
12,7,20,BUY,1000,98.20,2023-10-02,12.00,2023-10-04,Energy stock
13,8,29,BUY,500,98.50,2023-10-02,7.00,2023-10-04,Corporate bond
14,1,7,SELL,100,880.30,2023-10-03,15.00,2023-10-05,NVIDIA profit
15,2,28,BUY,600,99.90,2023-10-03,8.00,2023-10-05,Treasury 2Y
16,9,11,BUY,400,149.80,2023-10-04,10.00,2023-10-06,P&G dividend
17,10,4,BUY,25,3450.00,2023-10-04,30.00,2023-10-06,Amazon
18,3,18,SELL,50,890.20,2023-10-05,20.00,2023-10-07,Broadcom
19,4,26,BUY,300,102.80,2023-10-05,6.00,2023-10-07,Treasury 10Y
20,11,1,BUY,2000,188.90,2023-10-06,25.00,2023-10-08,Index fund
21,12,27,BUY,1200,100.30,2023-10-06,12.00,2023-10-08,Bond index
22,5,16,SELL,500,58.20,2023-10-09,8.00,2023-10-11,Coca-Cola
23,6,23,BUY,800,29.10,2023-10-09,15.00,2023-10-11,Bank of America
24,13,20,BUY,1000,99.40,2023-10-09,18.00,2023-10-11,Exxon Mobil